8
3875
0
1
3 -76 -20
25 -76 -18
100 -76 -16
259 -76 -14
495 -76 -12
746 -76 -10
929 -76 -8
1008 -76 -6
1006 -76 -4
970 -76 -2
950 -76 0
970 -76 2
1006 -76 4
1008 -76 6
929 -76 8
746 -76 10
495 -76 12
259 -76 14
100 -76 16
25 -76 18
3 -76 20
12 -74 -22
102 -74 -20
438 -74 -18
1300 -74 -16
3007 -74 -14
5735 -74 -12
9336 -74 -10
13267 -74 -8
16799 -74 -6
19421 -74 -4
20956 -74 -2
21446 -74 0
20956 -74 2
19421 -74 4
16799 -74 6
13267 -74 8
9336 -74 10
5735 -74 12
3007 -74 14
1300 -74 16
438 -74 18
102 -74 20
12 -74 22
3 -72 -26
49 -72 -24
315 -72 -22
1318 -72 -20
4261 -72 -18
11309 -72 -16
25421 -72 -14
49204 -72 -12
82916 -72 -10
123333 -72 -8
164276 -72 -6
198879 -72 -4
222005 -72 -2
230210 -72 0
222005 -72 2
198879 -72 4
164276 -72 6
123333 -72 8
82916 -72 10
49204 -72 12
25421 -72 14
11309 -72 16
4261 -72 18
1318 -72 20
315 -72 22
49 -72 24
3 -72 26
15 -70 -28
193 -70 -26
1203 -70 -24
5091 -70 -22
16593 -70 -20
44654 -70 -18
103289 -70 -16
209774 -70 -14
378969 -70 -12
614276 -70 -10
899429 -70 -8
1198204 -70 -6
1462387 -70 -4
1643985 -70 -2
1708584 -70 0
1643985 -70 2
1462387 -70 4
1198204 -70 6
899429 -70 8
614276 -70 10
378969 -70 12
209774 -70 14
103289 -70 16
44654 -70 18
16593 -70 20
5091 -70 22
1203 -70 24
193 -70 26
15 -70 28
1 -68 -32
60 -68 -30
581 -68 -28
3247 -68 -26
13443 -68 -24
45210 -68 -22
128815 -68 -20
318141 -68 -18
693431 -68 -16
1350469 -68 -14
2368974 -68 -12
3767596 -68 -10
5460801 -68 -8
7246910 -68 -6
8841333 -68 -4
9946223 -68 -2
10340950 -68 0
9946223 -68 2
8841333 -68 4
7246910 -68 6
5460801 -68 8
3767596 -68 10
2368974 -68 12
1350469 -68 14
693431 -68 16
318141 -68 18
128815 -68 20
45210 -68 22
13443 -68 24
3247 -68 26
581 -68 28
60 -68 30
1 -68 32
8 -66 -34
151 -66 -32
1239 -66 -30
7035 -66 -28
30905 -66 -26
110520 -66 -24
333260 -66 -22
870271 -66 -20
2006537 -66 -18
4140498 -66 -16
7725498 -66 -14
13124871 -66 -12
20397801 -66 -10
29106762 -66 -8
38240729 -66 -6
46362744 -66 -4
51985454 -66 -2
53997158 -66 0
51985454 -66 2
46362744 -66 4
38240729 -66 6
29106762 -66 8
20397801 -66 10
13124871 -66 12
7725498 -66 14
4140498 -66 16
2006537 -66 18
870271 -66 20
333260 -66 22
110520 -66 24
30905 -66 26
7035 -66 28
1239 -66 30
151 -66 32
8 -66 34
18 -64 -36
257 -64 -34
2027 -64 -32
11773 -64 -30
54566 -64 -28
209781 -64 -26
683707 -64 -24
1925344 -64 -22
4767634 -64 -20
10541272 -64 -18
21044690 -64 -16
38234317 -64 -14
63590356 -64 -12
97228274 -64 -10
137086381 -64 -8
178654955 -64 -6
215582702 -64 -4
241179121 -64 -2
250346146 -64 0
241179121 -64 2
215582702 -64 4
178654955 -64 6
137086381 -64 8
97228274 -64 10
63590356 -64 12
38234317 -64 14
21044690 -64 16
10541272 -64 18
4767634 -64 20
1925344 -64 22
683707 -64 24
209781 -64 26
54566 -64 28
11773 -64 30
2027 -64 32
257 -64 34
18 -64 36
15 -62 -38
224 -62 -36
